"""rowid"" ""WY"" ""source"" ""system.index"" ""image_date"" ""mean"" ""median"" ""std"" ""variance"" ""date"" ""meadow"" ""DOY"" ""DOWY"" ""WYTYPE"""
"32 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840516"" 1119840516 453513600000 0.156785074164244 0.180187791585922 0.125680080500411 0.0157954826345898 ""19840516"" ""BullCreek"" 137 229 ""AN"""
"33 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840524"" 1119840524 454204800000 NA NA NA NA ""19840524"" ""Shorthair"" 145 237 ""AN"""
"34 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840601"" 1119840601 4.54896e+11 0.183739085630937 0.183011800050735 0.00847028106383959 7.17456613004395e-05 ""19840601"" ""BullCreek"" 153 245 ""AN"""
"35 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840727"" 1119840727 459734400000 NA NA NA NA ""19840727"" ""HerringCreek"" 209 301 ""AN"""
"36 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840804"" 1119840804 460425600000 0.152423923855404 0.149082130619458 0.0845846364424068 0.00715456072209412 ""19840804"" ""HerringCreek"" 217 309 ""AN"""
"37 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840422"" 1119840422 4.5144e+11 0.869294265782611 0.901574452718099 0.0782594200056136 0.00612453681961503 ""19840422"" ""HerringCreek"" 113 205 ""AN"""
"38 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840430"" 1119840430 452131200000 NA NA NA NA ""19840430"" ""HerringCreek"" 121 213 ""AN"""
"39 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840508"" 1119840508 452822400000 NA NA NA NA ""19840508"" ""HerringCreek"" 129 221 ""AN"""
"40 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840711"" 1119840711 4.58352e+11 NA NA NA NA ""19840711"" ""Shorthair"" 193 285 ""AN"""
"41 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840719"" 1119840719 459043200000 NA NA NA NA ""19840719"" ""Shorthair"" 201 293 ""AN"""
"42 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840727"" 1119840727 459734400000 NA NA NA NA ""19840727"" ""Shorthair"" 209 301 ""AN"""
"43 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840804"" 1119840804 460425600000 0.123430569063968 0.125942140817642 0.0673555211386357 0.0045367662278572 ""19840804"" ""Shorthair"" 217 309 ""AN"""
"44 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840617"" 1119840617 456278400000 0.0848782383437758 0.0515074965854486 0.142444328759654 0.0202903867957885 ""19840617"" ""HerringCreek"" 169 261 ""AN"""
"45 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840625"" 1119840625 456969600000 0.231972214713785 0.234622344374657 0.0971672052470241 0.00944146577551731 ""19840625"" ""HerringCreek"" 177 269 ""AN"""
"46 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840703"" 1119840703 457660800000 0.398001827299595 0.402204766869545 0.0706913336668357 0.00499726465559589 ""19840703"" ""HerringCreek"" 185 277 ""AN"""
"47 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840711"" 1119840711 4.58352e+11 NA NA NA NA ""19840711"" ""HerringCreek"" 193 285 ""AN"""
"48 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840719"" 1119840719 459043200000 0.218451131383578 0.208792924880981 0.0382277469064616 0.00146136063354449 ""19840719"" ""HerringCreek"" 201 293 ""AN"""
"49 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840609"" 1119840609 455587200000 NA NA NA NA ""19840609"" ""BullCreek"" 161 253 ""AN"""
"50 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840609"" 1119840609 455587200000 NA NA NA NA ""19840609"" ""Shorthair"" 161 253 ""AN"""
"51 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840617"" 1119840617 456278400000 0.0574966718747209 0.0515052216748397 0.0730692446660929 0.00533911451607334 ""19840617"" ""Shorthair"" 169 261 ""AN"""
"52 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840617"" 1119840617 456278400000 0.231782034835355 0.250329583883286 0.16397653813653 0.026888305059241 ""19840617"" ""BullCreek"" 169 261 ""AN"""
"53 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840516"" 1119840516 453513600000 NA NA NA NA ""19840516"" ""HerringCreek"" 137 229 ""AN"""
"54 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840524"" 1119840524 454204800000 0.879853749127121 0.916519224643707 0.0834554407226149 0.0069648105862059 ""19840524"" ""HerringCreek"" 145 237 ""AN"""
"55 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840601"" 1119840601 4.54896e+11 0.774461799711915 0.845531776547432 0.158024490429399 0.0249717395754713 ""19840601"" ""HerringCreek"" 153 245 ""AN"""
"56 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840609"" 1119840609 455587200000 NA NA NA NA ""19840609"" ""HerringCreek"" 161 253 ""AN"""
"57 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840414"" 1119840414 450748800000 0.354316598482621 0.353810479243596 0.00768671777638493 5.90856301737921e-05 ""19840414"" ""Shorthair"" 105 197 ""AN"""
"58 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840422"" 1119840422 4.5144e+11 NA NA NA NA ""19840422"" ""Shorthair"" 113 205 ""AN"""
"59 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840430"" 1119840430 452131200000 NA NA NA NA ""19840430"" ""Shorthair"" 121 213 ""AN"""
"60 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840508"" 1119840508 452822400000 NA NA NA NA ""19840508"" ""Shorthair"" 129 221 ""AN"""
"61 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840516"" 1119840516 453513600000 0.809083285392859 0.84572089711825 0.115097936447903 0.0132475349745654 ""19840516"" ""Shorthair"" 137 229 ""AN"""
"62 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840601"" 1119840601 4.54896e+11 0.106632730315248 0.107921652495861 0.0378225299767493 0.0014305437738421 ""19840601"" ""Shorthair"" 153 245 ""AN"""
"63 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840921"" 1119840921 464572800000 NA NA NA NA ""19840921"" ""BullCreek"" 265 357 ""AN"""
"64 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840929"" 1119840929 4.65264e+11 NA NA NA NA ""19840929"" ""BullCreek"" 273 365 ""AN"""
"65 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840719"" 1119840719 459043200000 NA NA NA NA ""19840719"" ""BullCreek"" 201 293 ""AN"""
"66 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840625"" 1119840625 456969600000 NA NA NA NA ""19840625"" ""BullCreek"" 177 269 ""AN"""
"67 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840703"" 1119840703 457660800000 0.23308836966753 0.266416072845459 0.142102478676608 0.0201931144460358 ""19840703"" ""BullCreek"" 185 277 ""AN"""
"68 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840711"" 1119840711 4.58352e+11 NA NA NA NA ""19840711"" ""BullCreek"" 193 285 ""AN"""
"69 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840812"" 1119840812 461116800000 NA NA NA NA ""19840812"" ""BullCreek"" 225 317 ""AN"""
"70 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840820"" 1119840820 4.61808e+11 NA NA NA NA ""19840820"" ""BullCreek"" 233 325 ""AN"""
"71 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840727"" 1119840727 459734400000 NA NA NA NA ""19840727"" ""BullCreek"" 209 301 ""AN"""
"72 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840804"" 1119840804 460425600000 0.203367951749401 0.228860333561897 0.132910597643018 0.0176652269658244 ""19840804"" ""BullCreek"" 217 309 ""AN"""
"73 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840913"" 1119840913 463881600000 NA NA NA NA ""19840913"" ""BullCreek"" 257 349 ""AN"""
"74 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840905"" 1119840905 463190400000 NA NA NA NA ""19840905"" ""BullCreek"" 249 341 ""AN"""
"75 1984 ""LANDSAT/LT5_L1T_8DAY_NDWI/19840828"" 1119840828 462499200000 NA NA NA NA ""19840828"" ""BullCreek"" 241 333 ""AN"""
"76 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841218"" 1119841218 4.72176e+11 NA NA NA NA ""19841218"" ""BullCreek"" 353 79 ""D"""
"77 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850226"" 1119850226 4.78224e+11 NA NA NA NA ""19850226"" ""BullCreek"" 57 149 ""D"""
"78 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841210"" 1119841210 471484800000 NA NA NA NA ""19841210"" ""HerringCreek"" 345 71 ""D"""
"79 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841218"" 1119841218 4.72176e+11 NA NA NA NA ""19841218"" ""HerringCreek"" 353 79 ""D"""
"80 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850210"" 1119850210 476841600000 NA NA NA NA ""19850210"" ""BullCreek"" 41 133 ""D"""
"81 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850314"" 1119850314 479606400000 0.894611289284446 0.8983074426651 0.0231120732327182 0.000534167929114527 ""19850314"" ""BullCreek"" 73 165 ""D"""
"82 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850322"" 1119850322 480297600000 NA NA NA NA ""19850322"" ""BullCreek"" 81 173 ""D"""
"83 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850330"" 1119850330 480988800000 0.918776382099498 0.922903954982758 0.0271813589615376 0.000738826274995962 ""19850330"" ""BullCreek"" 89 181 ""D"""
"84 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850306"" 1119850306 478915200000 NA NA NA NA ""19850306"" ""BullCreek"" 65 157 ""D"""
"85 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850101"" 1119850101 473385600000 NA NA NA NA ""19850101"" ""BullCreek"" 1 93 ""D"""
"86 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850109"" 1119850109 474076800000 0.814691662788391 0.808513641357422 0.0490124465585965 0.00240221991765927 ""19850109"" ""BullCreek"" 9 101 ""D"""
"87 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850117"" 1119850117 4.74768e+11 NA NA NA NA ""19850117"" ""BullCreek"" 17 109 ""D"""
"88 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841226"" 1119841226 472867200000 NA NA NA NA ""19841226"" ""BullCreek"" 361 87 ""D"""
"89 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850202"" 1119850202 476150400000 NA NA NA NA ""19850202"" ""BullCreek"" 33 125 ""D"""
"90 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850218"" 1119850218 477532800000 NA NA NA NA ""19850218"" ""BullCreek"" 49 141 ""D"""
"91 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841031"" 1119841031 468028800000 NA NA NA NA ""19841031"" ""BullCreek"" 305 31 ""D"""
"92 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841108"" 1119841108 4.6872e+11 NA NA NA NA ""19841108"" ""BullCreek"" 313 39 ""D"""
"93 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841116"" 1119841116 469411200000 NA NA NA NA ""19841116"" ""BullCreek"" 321 47 ""D"""
"94 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841124"" 1119841124 470102400000 0.616282398050482 0.620496332645416 0.0340955240518634 0.0011625047603712 ""19841124"" ""BullCreek"" 329 55 ""D"""
"95 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841202"" 1119841202 470793600000 NA NA NA NA ""19841202"" ""BullCreek"" 337 63 ""D"""
"96 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841210"" 1119841210 471484800000 0.75948403856971 0.758724093437195 0.0471100388642025 0.00221935576178667 ""19841210"" ""BullCreek"" 345 71 ""D"""
"97 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850407"" 1119850407 4.8168e+11 NA NA NA NA ""19850407"" ""BullCreek"" 97 189 ""D"""
"98 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850415"" 1119850415 482371200000 NA NA NA NA ""19850415"" ""BullCreek"" 105 197 ""D"""
"99 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850423"" 1119850423 483062400000 NA NA NA NA ""19850423"" ""BullCreek"" 113 205 ""D"""
"100 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850501"" 1119850501 483753600000 0.364543357626958 0.365155428647995 0.127979412810558 0.0163787301033352 ""19850501"" ""BullCreek"" 121 213 ""D"""
"101 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850125"" 1119850125 475459200000 0.791535933451219 0.79186600446701 0.0321237822155776 0.00103193738383386 ""19850125"" ""BullCreek"" 25 117 ""D"""
"102 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841116"" 1119841116 469411200000 NA NA NA NA ""19841116"" ""HerringCreek"" 321 47 ""D"""
"103 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841202"" 1119841202 470793600000 NA NA NA NA ""19841202"" ""HerringCreek"" 337 63 ""D"""
"104 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841007"" 1119841007 465955200000 NA NA NA NA ""19841007"" ""Shorthair"" 281 7 ""D"""
"105 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841015"" 1119841015 466646400000 NA NA NA NA ""19841015"" ""Shorthair"" 289 15 ""D"""
"106 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841023"" 1119841023 467337600000 0.84850325737244 0.85800901055336 0.0546069970533661 0.00298192412718634 ""19841023"" ""Shorthair"" 297 23 ""D"""
"107 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841226"" 1119841226 472867200000 NA NA NA NA ""19841226"" ""HerringCreek"" 361 87 ""D"""
"108 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850101"" 1119850101 473385600000 NA NA NA NA ""19850101"" ""HerringCreek"" 1 93 ""D"""
"109 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850109"" 1119850109 474076800000 NA NA NA NA ""19850109"" ""HerringCreek"" 9 101 ""D"""
"110 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841007"" 1119841007 465955200000 NA NA NA NA ""19841007"" ""HerringCreek"" 281 7 ""D"""
"111 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841015"" 1119841015 466646400000 0.657246847700628 0.663345336914062 0.0332774658610853 0.0011073897341357 ""19841015"" ""HerringCreek"" 289 15 ""D"""
"112 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841023"" 1119841023 467337600000 0.869636145437726 0.881564180056254 0.0401491760390691 0.00161195633661616 ""19841023"" ""HerringCreek"" 297 23 ""D"""
"113 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841031"" 1119841031 468028800000 NA NA NA NA ""19841031"" ""HerringCreek"" 305 31 ""D"""
"114 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841108"" 1119841108 4.6872e+11 NA NA NA NA ""19841108"" ""HerringCreek"" 313 39 ""D"""
"115 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850226"" 1119850226 4.78224e+11 NA NA NA NA ""19850226"" ""HerringCreek"" 57 149 ""D"""
"116 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841124"" 1119841124 470102400000 NA NA NA NA ""19841124"" ""HerringCreek"" 329 55 ""D"""
"117 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841007"" 1119841007 465955200000 NA NA NA NA ""19841007"" ""BullCreek"" 281 7 ""D"""
"118 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841015"" 1119841015 466646400000 NA NA NA NA ""19841015"" ""BullCreek"" 289 15 ""D"""
"119 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841023"" 1119841023 467337600000 0.40213796835054 0.389629185199738 0.154984727660622 0.0240202658080371 ""19841023"" ""BullCreek"" 297 23 ""D"""
"120 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850509"" 1119850509 484444800000 NA NA NA NA ""19850509"" ""Shorthair"" 129 221 ""D"""
"121 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850517"" 1119850517 4.85136e+11 NA NA NA NA ""19850517"" ""Shorthair"" 137 229 ""D"""
"122 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850525"" 1119850525 485827200000 NA NA NA NA ""19850525"" ""Shorthair"" 145 237 ""D"""
"123 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850117"" 1119850117 4.74768e+11 0.887847288424924 0.903356502453486 0.0435344267243583 0.00189524631021852 ""19850117"" ""HerringCreek"" 17 109 ""D"""
"124 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850125"" 1119850125 475459200000 NA NA NA NA ""19850125"" ""HerringCreek"" 25 117 ""D"""
"125 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850202"" 1119850202 476150400000 NA NA NA NA ""19850202"" ""HerringCreek"" 33 125 ""D"""
"126 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850210"" 1119850210 476841600000 NA NA NA NA ""19850210"" ""HerringCreek"" 41 133 ""D"""
"127 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850218"" 1119850218 477532800000 NA NA NA NA ""19850218"" ""HerringCreek"" 49 141 ""D"""
"128 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850712"" 1119850712 489974400000 NA NA NA NA ""19850712"" ""Shorthair"" 193 285 ""D"""
"129 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850306"" 1119850306 478915200000 NA NA NA NA ""19850306"" ""HerringCreek"" 65 157 ""D"""
"130 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850728"" 1119850728 491356800000 NA NA NA NA ""19850728"" ""Shorthair"" 209 301 ""D"""
"131 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850805"" 1119850805 4.92048e+11 0.0767546653055037 0.0792665779590607 0.06248767570776 0.00390470961535818 ""19850805"" ""Shorthair"" 217 309 ""D"""
"132 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850813"" 1119850813 492739200000 NA NA NA NA ""19850813"" ""Shorthair"" 225 317 ""D"""
"133 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850821"" 1119850821 493430400000 0.0297428490061952 0.0248393869648377 0.0644311288815194 0.00415137036894697 ""19850821"" ""Shorthair"" 233 325 ""D"""
"134 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850829"" 1119850829 494121600000 NA NA NA NA ""19850829"" ""Shorthair"" 241 333 ""D"""
"135 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850906"" 1119850906 494812800000 0.80236770098026 0.803620052337646 0.0591103726902426 0.00349403615957938 ""19850906"" ""Shorthair"" 249 341 ""D"""
"136 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850602"" 1119850602 486518400000 -0.00972290243834066 -0.0231678579002619 0.0839087852785593 0.00704068424692337 ""19850602"" ""Shorthair"" 153 245 ""D"""
"137 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850610"" 1119850610 487209600000 NA NA NA NA ""19850610"" ""Shorthair"" 161 253 ""D"""
"138 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850618"" 1119850618 487900800000 NA NA NA NA ""19850618"" ""Shorthair"" 169 261 ""D"""
"139 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850626"" 1119850626 4.88592e+11 NA NA NA NA ""19850626"" ""Shorthair"" 177 269 ""D"""
"140 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850704"" 1119850704 489283200000 NA NA NA NA ""19850704"" ""Shorthair"" 185 277 ""D"""
"141 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19841202"" 1119841202 470793600000 NA NA NA NA ""19841202"" ""Shorthair"" 337 63 ""D"""
"142 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850720"" 1119850720 490665600000 0.144722512548264 0.147385355830193 0.0617634868081995 0.00381472830270664 ""19850720"" ""Shorthair"" 201 293 ""D"""
"143 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850509"" 1119850509 484444800000 NA NA NA NA ""19850509"" ""BullCreek"" 129 221 ""D"""
"144 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850314"" 1119850314 479606400000 0.848799609123392 0.854601383209229 0.0258888490272845 0.000670232503957529 ""19850314"" ""HerringCreek"" 73 165 ""D"""
"145 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850322"" 1119850322 480297600000 NA NA NA NA ""19850322"" ""HerringCreek"" 81 173 ""D"""
"146 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850330"" 1119850330 480988800000 0.846467226743698 0.846854686737061 0.0247557314575505 0.000612846239998355 ""19850330"" ""HerringCreek"" 89 181 ""D"""
"147 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850407"" 1119850407 4.8168e+11 NA NA NA NA ""19850407"" ""HerringCreek"" 97 189 ""D"""
"148 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850415"" 1119850415 482371200000 NA NA NA NA ""19850415"" ""HerringCreek"" 105 197 ""D"""
"149 1985 ""LANDSAT/LT5_L1T_8DAY_NDWI/19850914"" 1119850914 4.95504e+11 NA NA NA NA ""19850914"" ""Shorthair"" 257 349 ""D"""
